URL,Domain,Anchor
/watch?v=_EmJDTDEdzc&t=505s,watchvemjdtdedzct505s,8:25
/watch?v=_EmJDTDEdzc&t=517s,watchvemjdtdedzct517s,8:37
/watch?v=_EmJDTDEdzc&t=528s,watchvemjdtdedzct528s,8:48
/watch?v=_EmJDTDEdzc&t=544s,watchvemjdtdedzct544s,9:04
/watch?v=_EmJDTDEdzc&t=554s,watchvemjdtdedzct554s,9:14
/watch?v=_EmJDTDEdzc&t=567s,watchvemjdtdedzct567s,9:27
/watch?v=_EmJDTDEdzc&t=580s,watchvemjdtdedzct580s,9:40
/watch?v=_EmJDTDEdzc&t=596s,watchvemjdtdedzct596s,9:56
/watch?v=_EmJDTDEdzc&t=610s,watchvemjdtdedzct610s,10:10
/watch?v=_EmJDTDEdzc&t=623s,watchvemjdtdedzct623s,10:23
/watch?v=_EmJDTDEdzc&t=634s,watchvemjdtdedzct634s,10:34
/watch?v=_EmJDTDEdzc&t=648s,watchvemjdtdedzct648s,10:48
/watch?v=_EmJDTDEdzc&t=659s,watchvemjdtdedzct659s,10:59
/watch?v=_EmJDTDEdzc&t=671s,watchvemjdtdedzct671s,11:11
/watch?v=_EmJDTDEdzc&t=686s,watchvemjdtdedzct686s,11:26
/watch?v=_EmJDTDEdzc&t=698s,watchvemjdtdedzct698s,11:38
/watch?v=_EmJDTDEdzc&t=712s,watchvemjdtdedzct712s,11:52
/watch?v=_EmJDTDEdzc&t=724s,watchvemjdtdedzct724s,12:04
/watch?v=_EmJDTDEdzc&t=739s,watchvemjdtdedzct739s,12:19
/watch?v=_EmJDTDEdzc&t=753s,watchvemjdtdedzct753s,12:33
/watch?v=_EmJDTDEdzc&t=765s,watchvemjdtdedzct765s,12:45
/watch?v=_EmJDTDEdzc&t=778s,watchvemjdtdedzct778s,12:58
/watch?v=_EmJDTDEdzc&t=789s,watchvemjdtdedzct789s,13:09
/watch?v=_EmJDTDEdzc&t=806s,watchvemjdtdedzct806s,13:26
/watch?v=_EmJDTDEdzc&t=820s,watchvemjdtdedzct820s,13:40
/watch?v=_EmJDTDEdzc&t=834s,watchvemjdtdedzct834s,13:54
/watch?v=_EmJDTDEdzc&t=846s,watchvemjdtdedzct846s,14:06
/watch?v=_EmJDTDEdzc&t=859s,watchvemjdtdedzct859s,14:19
/watch?v=_EmJDTDEdzc&t=870s,watchvemjdtdedzct870s,14:30
/watch?v=_EmJDTDEdzc&t=883s,watchvemjdtdedzct883s,14:43
/watch?v=_EmJDTDEdzc&t=895s,watchvemjdtdedzct895s,14:55
/watch?v=_EmJDTDEdzc&t=1000s,watchvemjdtdedzct1000s,16:40
/watch?v=_EmJDTDEdzc&t=1128s,watchvemjdtdedzct1128s,18:48
/watch?v=_EmJDTDEdzc&t=1253s,watchvemjdtdedzct1253s,20:53
